year,genre_name,total_revenue,movie_count,avg_revenue
1926,Adventure,3438000,92,37370
1926,Fantasy,938000,14,67000
1926,Romance,658000,171,3848
1926,Animation,0,179,0
1926,Family,0,6,0
1926,Science Fiction,0,3,0
1926,Thriller,0,11,0
1927,Drama,13554809,463,29276
1927,Romance,6279857,151,41588
1927,Action,3600000,52,69231
1927,Comedy,2478307,405,6119
1927,Science Fiction,650422,4,162606
1927,Adventure,0,63,0
1927,Animation,0,163,0
1927,Family,0,5,0
1927,Fantasy,0,13,0
1927,Thriller,0,8,0
1928,Drama,24573097,500,49146
1928,Romance,8099000,150,53993
1928,Thriller,1464000,10,146400
1928,Adventure,1147000,68,16868
1928,Comedy,97,415,0
1928,Action,0,52,0
1928,Animation,0,147,0
1928,Family,0,7,0
1928,Fantasy,0,12,0
1928,Science Fiction,0,2,0
1929,Romance,9780000,157,62293
1929,Comedy,9624000,376,25596
1929,Drama,8485000,508,16703
1929,Action,3270000,46,71087
1929,Adventure,3270000,56,58393
1929,Animation,0,165,0
1929,Family,0,18,0
1929,Fantasy,0,12,0
1929,Science Fiction,0,7,0
1929,Thriller,0,24,0
1930,Drama,25524940,454,56222
1930,Adventure,15000000,53,283019
1930,Action,12000000,46,260870
